Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_skills
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,"Understanding of Artificial Intelligence, Knowledge in Medical Terminology, Basic Programming Skills, Data Analysis, Machine Learning, Predictive Modeling, Problem-Solving Skills, Research Skills, Statistical Analysis, Deep Learning, Data Interpretation Skills, Ethical Decision Making, Understanding of Healthcare Systems"
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,"Understanding of AI and Machine Learning concepts, Knowledge of Medicine and Healthcare, Data Analysis, Python Programming, Machine Learning Model Implementation, Medical Data Interpretation, Problem-Solving, Critical Thinking, Data Visualization, Statistics, Deep Learning, Ethical Considerations in AI, Natural Language Processing"
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,"Cloud Computing, Understanding of AWS Infrastructure, AWS Management Console Navigation, Knowledge of AWS Storage & Database options, AWS Security Measures, Basic Networking Skills, Understanding of AWS Pricing, AWS Deployment Management, Understanding of AWS Cloud Architectures"
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,"Cloud Computing, AWS Services Knowledge, Cybersecurity, Risk Identification, Risk Assessment, Risk Management, Security Protocols Understanding, Data Protection, Network Security, Compliance Management"
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,"Cloud Computing, Understanding of AWS (Amazon Web Services), Serverless Architecture, Application Development, Knowledge of AWS Lambda, API Gateway, DynamoDB, S3, Basic Programming, Problem-Solving, System Design, Security Principles, Data Management"
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,"Cloud Computing, Understanding of AWS (Amazon Web Services), Knowledge of Cloud-Native Applications, Familiarity with AWS Architecture, Cloud Deployment, Cloud Migration, Cloud Management, Cloud Security, Knowledge of AWS Services, Basic Programming Skills"
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,"Understanding of AWS services, Cloud Computing knowledge, Data Migration skills, Knowledge of AWS Migration Tools, Familiarity with cloud storage systems, Understanding of cloud-based infrastructure, Basic IT skills, Problem-solving skills, Knowledge of network architecture, Familiarity with AWS Management Console, Disaster Recovery Planning."
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,"Cultural awareness, understanding of Aboriginal history and traditions, critical thinking, communication skills, teaching strategies, empathy, respect for diversity, research skills, analytical skills, understanding of educational systems, curriculum development."
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,"English language proficiency, Academic vocabulary, Essay writing, Research skills, Critical thinking, Grammar, Punctuation, Sentence structure, Argumentation skills, Citation and referencing, Paraphrasing, Summarizing, Proofreading, Editing skills"
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,"Programming, Logical Thinking, Problem Solving, Algorithm Development, Data Structures Understanding, Computer Systems Knowledge, Computational Thinking, Coding, Debugging, Software Development"
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,"Understanding of Security Systems, Knowledge of Access Control Principles, Technical Skills, Problem-Solving Skills, Analytical Skills, Attention to Detail, Basic IT Skills, Knowledge of Physical Security Measures, Risk Assessment, System Monitoring"
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,"Financial Literacy, Understanding of Accounting Principles, Analytical Thinking, Data Interpretation, Statistical Analysis, Use of Analytics Software, Problem-Solving, Decision Making, Attention to Detail, Critical Thinking, Communication Skills, Familiarity with Accounting Software, Business Acumen"
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,"Financial Literacy, Decision Making, Accounting Principles, Analytical Thinking, Problem Solving, Financial Reporting, Budgeting, Risk Management, Strategic Planning, Data Interpretation"
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,"Goal Setting, Time Management, Communication Skills, Leadership Skills, Critical Thinking, Problem Solving, Self-Motivation, Decision Making, Emotional Intelligence, Personal Development Planning, Professional Development Planning, Networking Skills"
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,"Spanish language proficiency, patient management, diabetes mellitus type 2 knowledge, medical terminology understanding, health assessment, patient care planning, medication administration, blood glucose monitoring, insulin therapy understanding, dietary guidance, physical activity guidance, chronic disease management, interpersonal communication skills"
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,"Understanding of Addiction Treatment, Clinical Skills, Patient Care, Healthcare Provision, Communication Skills, Interpersonal Skills, Ethical Decision Making, Patient Assessment, Treatment Planning, Counseling Skills, Knowledge of Substance Abuse Disorders, Crisis Intervention, Group Therapy Skills, Case Management, Medical Terminology"
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,"Data Analysis, Statistical Analysis, Predictive Modeling, Business Intelligence, Data Visualization, Decision Making, Problem Solving, Critical Thinking, SQL, Python, R Programming, Machine Learning, Big Data Handling, Quantitative Methods, Communication Skills"
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,"Data Analysis, Understanding of IBM Data Science Tools, Machine Learning, Predictive Modeling, Data Visualization, Python Programming, SQL, Statistical Analysis, Problem-Solving, Critical Thinking, Advanced Mathematics, Big Data Processing, AI Concepts, Cloud Computing, Data Mining"
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,"Data Analysis, Statistical Analysis, Programming Skills, Python, R, Understanding of Algorithms, Artificial Intelligence Knowledge, Deep Learning, Natural Language Processing, Supervised Learning, Unsupervised Learning, Reinforcement Learning, Neural Networks, Predictive Modeling, Data Mining, Probability, Statistics, Critical Thinking, Problem-Solving Skills, Computational Thinking"
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,"Understanding of basic machine learning concepts, Proficiency in Python, Familiarity with TensorFlow, Knowledge of Google Cloud Platform, Data analysis skills, Deep learning concepts, Cloud computing, Algorithm development, Model training and evaluation, Predictive modeling, Neural network configuration, Understanding of advanced machine learning algorithms"
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,"Financial Analysis, Valuation Techniques, Strategic Planning, Mergers and Acquisitions (M&A) Knowledge, Private Equity, Venture Capital, Business Strategy, Financial Modeling, Investment Strategies, Risk Management, Due Diligence, Market Analysis, Negotiation Skills, Business Valuation, Corporate Finance, Decision Making"
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,"Critical Thinking, Communication Skills, Understanding of Advertising Principles, Societal Awareness, Ethical Judgment, Media Literacy, Cultural Sensitivity, Creativity, Analytical Skills, Strategic Planning, Marketing Knowledge"
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,"Historical Analysis, Architectural Understanding, Cultural Awareness, Research Skills, Critical Thinking, Art History Knowledge, Understanding of Religious Symbolism, European History Knowledge"
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,"Project Management, Communication, Leadership, Problem-Solving, Adaptability, Collaboration, Time Management, Risk Assessment, Software Development, Strategic Planning, Continuous Improvement, User Story Creation, Scrum Management"
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,"Agile Methodology, Design Thinking, Project Management, Team Collaboration, Problem Solving, Innovation, Creativity, Communication, Adaptability, User-Centered Design, Iterative Development, Time Management, Critical Thinking, Empathy, Rapid Prototyping"
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,"Project Management, Agile Methodologies, Scrum, Kanban, Software Development, Atlassian Jira, Team Collaboration, Problem Solving, Task Prioritization, Reporting, Workflow Management, Time Management"
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,"Project Management, Agile Methodology, Scrum Framework, Teamwork, Problem-Solving, Product Management, Time Management, Risk Assessment, Communication Skills, Stakeholder Management, Adaptability"
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,"Problem-solving, Logical thinking, Mathematical reasoning, Understanding of data structures, Familiarity with algorithms, Programming skills, Debugging, Proficiency in a programming language, Time complexity analysis, Space complexity analysis"
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,"Problem-solving, Analytical thinking, Mathematical reasoning, Programming, Understanding of data structures, Logical thinking, Familiarity with algorithmic concepts, Debugging, Time complexity analysis, Space complexity analysis"
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,"Understanding of Algorithms, Battery Management Systems, Knowledge in Electrical Engineering, Problem-Solving Skills, Analytical Skills, Basic Programming Skills, Understanding of Energy Storage, Knowledge of Battery Technologies, Mathematical Skills, Circuit Analysis, Data Analysis Skills, System Design Skills"
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,"Understanding of Basic Law Principles, Contractual Agreement Understanding, Legal Analysis, Critical Thinking, Negotiation Skills, Problem Solving, Written Communication, Ethical Judgment, Interpretation of Legal Language, Knowledge of American Legal System"
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,"Understanding of English Language, Basic Knowledge of American History, Critical Thinking, Analytical Skills, Research Skills, Note-Taking, Legal Terminology Understanding, Comprehension Skills, Communication Skills, Attention to Detail"
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,"Neuroscience knowledge, Marketing strategies, Consumer behavior understanding, Data analysis, Research skills, Critical thinking, Understanding of human psychology, Communication skills, Problem-solving, Ethical considerations in neuromarketing"
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,"Programming, Understanding of Internet of Things (IoT), Basic Electronics, Networking, Data Analysis, Problem Solving, Critical Thinking, Coding in Python/JavaScript, Understanding of IoT Protocols, IoT Security, Software Development, Hardware Interaction, Sensor Integration, Cloud Computing, Data Management, Wireless Communication"
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,"Numerical Analysis, Digital Literacy, Data Interpretation, Critical Thinking, Problem Solving, Statistical Analysis, Data Visualization, Computer Literacy, Information Literacy, Analytical Skills"
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,"Understanding of biological systems, Knowledge in human physiology, Observation skills, Critical thinking, Attention to detail, Memorization skills, Lab skills, Ability to use scientific equipment, Research skills, Problem-solving skills, Communication skills"
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,"Anatomy knowledge, Understanding of the human body, Medical terminology, Observation skills, Critical thinking, Research skills, Note-taking, Attention to detail, Understanding of the chest, abdomen, and pelvis structures, Spatial skills, Scientific literacy, Deductive reasoning"
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,"Anatomy knowledge, Understanding of Musculoskeletal System, Understanding of Integumentary System, Observation Skills, Critical Thinking, Scientific Terminology, Research Skills, Note-taking, Memorization Skills, Attention to Detail"
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,"Critical Thinking, Analytical Reasoning, Understanding of Philosophical Concepts, Historical Analysis, Interpretation of Ancient Texts, Knowledge of Aristotle's Philosophies, Research Skills, Written Communication, Comparative Analysis, Ethical Reasoning"
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,"Java programming, Understanding of XML, Android SDK, Android Studio, APIs, Databases, Material Design, Software testing, Debugging, Problem-solving, User interface design, Understanding of the Android lifecycle"
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,"Animal Behavior Understanding, Animal Welfare Knowledge, Ethology, Observational Skills, Animal Care, Empathy for Animals, Analytical Skills, Research Skills, Communication Skills, Critical Thinking, Problem-Solving Skills, Understanding of Animal Rights Legislation"
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,"Understanding of microbiology, Knowledge in pharmacology, Familiarity with infectious diseases, Ability to interpret clinical data, Critical thinking, Decision-making skills, Communication skills, Understanding of medical ethics, Knowledge in healthcare systems, Research skills"
514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,"Understanding of Spanish language, Knowledge of Legal Concepts, Analytical Thinking, Ethics, Problem-Solving, Understanding of Anti-Corruption Policies, Practical Application of Anti-Corruption Strategies"
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,"Microbiology, Understanding of Antimicrobial Resistance, Research Methods, Data Analysis, Laboratory Skills, Scientific Theory Understanding, Critical Thinking, Problem-Solving, Biochemistry Knowledge"
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,"Data Analysis, Statistical Analysis, Python Programming, Machine Learning, Data Visualization, Predictive Modeling, Probability, SQL, Critical Thinking, Problem Solving, R Programming, Data Mining, Big Data Analytics, Data Cleaning, Data Manipulation, Understanding of Algorithms, Mathematical Skills"
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,"Data Analysis, Data Science, Statistical Analysis, Machine Learning, Python Programming, Data Visualization, Predictive Modeling, Problem Solving, Critical Thinking, Research Skills, Data Management, Application of Scientific Methods"
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,"Python programming, Data analysis, Machine learning, Statistics, Data visualization, Predictive modeling, Problem-solving, Critical thinking, Data cleaning, Data manipulation, Understanding of algorithms, Use of data science libraries (like Pandas, NumPy, Matplotlib), Knowledge of databases, SQL, Data interpretation, Communication skills"
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,"Python programming, Machine Learning concepts, Data Analysis, Applied Mathematics, Statistics, Algorithm Design, Problem Solving, Data Modeling, Predictive Modeling, Understanding of Supervised and Unsupervised Learning"
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,"Python programming, Data analysis, Data visualization, Plotting techniques, Charting techniques, Data representation techniques, Understanding of libraries like Matplotlib, Data interpretation, Critical thinking"
888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,"Programming, Python, Problem Solving, Debugging, Code Writing, Algorithm Development, Data Structures, Basic Computer Skills"
512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,"As the course title ""Aprender"" is a Spanish word meaning ""to learn"", without any specific subject or context, it's impossible to determine the exact skills required or acquired. However, basic Spanish language comprehension would be a prerequisite."
551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,"Memory enhancement, Cognitive flexibility, Problem-solving, Critical thinking, Time management, Note-taking, Self-motivation, Focus skills, Learning strategies, Conceptual understanding, Metacognition, Creativity, Information processing, Mind mapping, Stress management"
437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,"Cloud Architecture, Google Cloud Platform Knowledge, Understanding Cloud Services, Design and Plan a Cloud Solution Architecture, Manage and Provision Google Cloud Platform Resources, Analytical Skills, Problem-Solving Skills, Japanese Language Proficiency"
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,"Cloud Computing, Google Cloud Platform Proficiency, Architectural Design, System Infrastructure, Network Architecture, Data Storage Management, Security Protocols, Virtualization, Load Balancing, Disaster Recovery Planning"
573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,"Cloud Architecture Understanding, Google Cloud Platform Proficiency, Kubernetes Engine Knowledge, Containerization Skills, Application Deployment and Scaling Techniques, Cluster Management, Network Configuration Skills, Japanese Language Proficiency"
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,"English proficiency, Teaching skills, Lesson planning, Understanding of linguistics, Classroom management, Cultural awareness, Communication skills, Grammar knowledge, Listening skills, Speaking skills, Reading skills, Writing skills, Patience, Understanding of language acquisition theories"
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,"Art Appreciation, Interactivity Skills, Creativity, Critical Thinking, Visual Analysis Skills, Communication Skills, Engagement Strategies, Cultural Awareness, Artistic Expression, Interpretation Skills, Understanding of Art History, Collaboration Skills, Problem-Solving Skills"
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,"Artistic Ability, Creative Thinking, Theme Identification, Teaching Skills, Communication Skills, Idea Generation, Lesson Planning, Visual Analysis, Critical Thinking, Cultural Awareness, Art History Knowledge"
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,"Art Appreciation, Cultural Awareness, Strategic Planning, Project Management, Creative Thinking, Communication Skills, Leadership, Understanding of Artistic Processes, Event Planning, Marketing, Fundraising, Networking, Research Skills"
326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,"Art Appreciation, Cultural Heritage Knowledge, Management Skills, Organizational Skills, Financial Management, Project Management, Communication Skills, Strategic Planning, Fundraising, Marketing, Public Relations, Event Planning, Research Skills, Leadership Skills"
877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,"Project Planning, Project Management, Basic Understanding of Spanish, Time Management, Resource Allocation, Risk Management, Team Coordination, Strategic Planning, Decision Making, Problem Solving, Communication Skills"
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,"Astronomy, Biology, Understanding of the Scientific Method, Research Skills, Critical Thinking, Knowledge of Planetary Science, Data Analysis, Problem-Solving, Understanding of Biochemistry, Basic Physics, Environmental Science, Astrochemistry, Knowledge of Evolutionary Biology, Analytical Skills"
782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,"Spanish Language Proficiency, Primary Health Care Knowledge, Non-Communicable Disease Management, Patient Care, Health Education, Disease Prevention, Public Health Knowledge, Communication Skills, Critical Thinking, Problem-Solving Skills"
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,"Understanding of Autism Spectrum Disorder, Knowledge of Behavioral Analysis, Patient Care, Communication Skills, Empathy, Observation Skills, Data Collection and Analysis, Understanding of Developmental Disorders, Problem-Solving Skills, Therapeutic Techniques, Adaptability, Interpersonal Skills"
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,"Computer-Aided Design (CAD), Computer-Aided Manufacturing (CAM), Autodesk software proficiency, 3D Modeling, Blueprint Reading, Technical Drawing, Precision Measurement, Manufacturing Processes, Problem Solving, Attention to Detail, Understanding of Manufacturing Materials, CNC Programming"
468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,"Computer-Aided Design (CAD), Computer-Aided Manufacturing (CAM), Computer-Aided Engineering (CAE), Mechanical Engineering, Autodesk Software Proficiency, 3D Modeling, Technical Drawing, Simulation Analysis, Product Design, Prototyping, Manufacturing Principles, Engineering Design, Problem Solving, Attention to Detail, Numerical Skills"
702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,"Computer-aided Design (CAD) skills, AutoCAD proficiency, Drafting techniques, Spatial reasoning, Design principles, Attention to detail, Problem-solving, 2D and 3D modeling, Technical drawing, Blueprint reading, Autodesk software navigation, Time management, Measurement and scale understanding"
590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,"Architectural Designing, Autodesk Revit Proficiency, 3D Modeling, Building Information Modeling (BIM), Drafting, Design Development, Construction Documentation, Architectural Drawing, Spatial Planning, Detailing, Software Testing Skills, Exam Preparation, Time Management"
816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,"Understanding of Engineering Principles, Knowledge of Building Information Modeling (BIM), Proficiency in BIM Software, 3D Modeling Skills, Design Skills, Analytical Skills, Problem-Solving Skills, Collaboration and Communication Skills, Project Management Skills, Technical Drawing Skills, Attention to Detail, Spatial Awareness, Understanding of Construction Processes"
642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,"Numerical literacy, Data analysis, Problem-solving, Critical thinking, Knowledge of statistical software, Understanding of probability, Data interpretation, Hypothesis testing, Data collection, Mathematical reasoning"
493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,"Statistical analysis, Bayesian statistics, Data analysis, Conceptual understanding, Mathematical reasoning, Probability theory, Critical thinking, Problem-solving, Use of statistical software"
602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,"Statistical analysis, Probability theory, Bayesian statistics, Mathematical modeling, Data interpretation, Critical thinking, Problem-solving, Statistical software proficiency, Quantitative research methodologies"
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,"Understanding of CBRS technology, Knowledge of radio frequency, Troubleshooting skills, Familiarity with installation tools, Knowledge of Google products and services, Certification preparation skills, Ability to adhere to safety protocols, Understanding of wireless communication, Knowledge of network configuration, Ability to interpret technical specifications"
294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,"Research Skills, Writing Skills, Critical Thinking, Interviewing Skills, Ethical Judgment, Communication Skills, Observational Skills, Basic Photography Skills, News Reporting, Fact-Checking, Computer Literacy, Understanding of Media Law, Storytelling, Time Management, Attention to Detail"
809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,"Business Strategy, Sustainability Knowledge, Change Management, Leadership, Project Management, Communication Skills, Problem-Solving, Critical Thinking, Environmental Awareness, Stakeholder Engagement, Decision Making, Strategic Planning, Business Analysis, Teamwork, Innovation Management"
776,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,"Negotiation skills, Communication skills, Knowledge of sports regulations and contracts, Marketing skills, Business management, Client relationship management, Ethical decision making, Problem-solving skills, Financial management, Understanding of sports industry"
672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,"Critical thinking, Creativity, Problem-solving, Communication, Leadership, Empathy, Understanding of social issues, Strategic planning, Project management, Innovation skills, Teamwork, Analytical skills, Research skills"
269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,"Understanding of basic finance principles, Knowledge of behavioral psychology, Analytical skills, Critical thinking, Decision-making skills, Problem-solving skills, Numerical skills, Understanding of financial markets, Knowledge of investment strategies, Ethical judgment, Communication skills, Emotional intelligence, Risk management skills"
456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,"Understanding of Sustainable Development Goals (SDGs), Knowledge in Sustainability, Development Studies, Research Skills, Critical Thinking, Problem-Solving, Environmental Awareness, Policy Analysis, Strategic Planning, Project Management, Communication Skills, Interdisciplinary Understanding, Global Awareness, Leadership Skills, Decision-Making Skills"
498,Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,"Data Analysis, Big Data Understanding, Practical Application of Big Data, Data Management, Data Processing, Interpretation of Data Results, Basic Computing, Problem-Solving, Statistical Analysis, Critical Thinking"
687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,"Understanding of Biological Concepts, Knowledge of Neurology, Analytical Thinking, Problem-Solving, Research Skills, Basic Understanding of Health and Wellness, Biohacking Techniques, Self-Experimentation Skills, Critical Thinking, Basic Knowledge of Human Physiology"
565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,"Biology, Programming, Data Analysis, Problem Solving, Python Programming, Computational Biology, Genomics, Algorithmic Skills, Basic Computer Skills, DNA Sequencing, Understanding of Biological Concepts, Research Skills"
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,"Statistical analysis, Data interpretation, Public health knowledge, Research methods, Problem-solving, Critical thinking, Data collection, Use of statistical software, Understanding of biological concepts, Mathematical skills, Communication skills, Report writing"
